Date,ChangePoint,MeanBefore,MeanAfter,StdDev
1987-08-04,True,0.002257028110666338,-0.0012345369613504214,0.017651956147366425
1987-08-25,True,-0.01207208507605048,-0.0005945242774114416,0.018653426310351648
1988-03-03,True,-0.0017773592335656406,0.0007056166248076366,0.018780496624274837
1988-08-23,True,-0.0006689251739832205,-0.009191700795744828,0.0182420297522149
1988-10-06,True,-0.0014415280632080689,0.0022734065766216276,0.019686290657881272
1989-04-21,True,0.005010425038767887,0.00021312344852251954,0.02099803285662833
1990-01-08,True,0.00032196025540156376,-0.00339386326683027,0.019761542135118354
1990-07-10,True,-0.0002725715081555297,0.017547791439521218,0.022269290323772315
1990-09-28,True,0.0009320684113843903,-0.00037450837699601797,0.02218074229218993
1991-02-19,True,-0.008520538243718066,0.00011066314573906527,0.022125360719671226
1991-10-21,True,0.0015294195274398394,-0.00021577269835093297,0.01622661647644795
1992-01-22,True,-0.0038998570415923286,-1.0054496417933166e-06,0.01588705389686204
1992-06-08,True,0.0018650857442602624,-0.00017680991933227157,0.01562383565179408
1993-01-21,True,-0.0015352688765745248,7.444978989653818e-05,0.010800564968365824
1993-08-18,True,-0.0007727705608777055,-0.004750700756730253,0.010868602607004016
1993-09-16,True,-0.0010183218075352702,0.0036543851974848098,0.011095358613758993
1993-10-22,True,-0.0006712064300194928,-0.0053453149117682125,0.01255339871806579
1993-12-30,True,-0.0012245643611081321,0.0004919336713188805,0.015707471113657494
1994-08-02,True,0.0025075472499550885,-0.00041993482791967917,0.015784236104506775
1994-08-26,True,-0.010509795335356441,8.316070984725079e-05,0.014229303153094409
1995-05-02,True,0.0012128727555027943,-0.001674030052702451,0.013770836183526149
1995-10-23,True,1.0817661301292733e-05,0.003676224122280766,0.013341850980081327
1995-12-29,True,0.000517506201495514,-0.006949099631124629,0.013724584298949948
1996-01-30,True,0.00040220435144553074,0.0075885701453130465,0.01637090786532031
1996-04-12,True,0.0010362954509044293,-0.006659000615054917,0.017391651767690607
1996-06-17,True,6.248797829549914e-06,0.0025825538016442974,0.016618728929899705
1996-12-09,True,0.00022268634557550432,-0.004180747263894608,0.016704880658004264
1997-04-18,True,-2.5077182323069776e-05,0.001956731607384102,0.016780191228343712
1997-10-06,True,5.0612170759154676e-05,-0.0028332102179419454,0.02276427064913597
1998-03-18,True,-0.0058036022207223524,0.002103655195952824,0.02706084916653945
1998-10-01,True,-0.0014847788927391235,-0.009416727864520429,0.027226414932692795
1998-12-11,True,-0.00024395599969039588,0.0006453873697980196,0.022782562970438913
1999-01-12,True,0.01486571692561242,0.0033661694519628044,0.02504318868272411
1999-02-10,True,-0.010066979478797564,0.004418766942805968,0.023046817822327228
1999-04-01,True,0.012287605150894202,0.003236752619702585,0.022170243094565695
2000-01-11,True,0.0021669855923940606,0.00824639333295226,0.021937119680850544
2000-03-08,True,0.004075557120791839,0.0003539412226790964,0.02278879572624934
2000-04-11,True,-0.017300886793897057,0.0008921548706267537,0.026295414446099757
2000-05-17,True,0.013537216425480886,4.42352911467389e-05,0.025645988979242453
2000-09-08,True,0.0032443434624335257,-0.0017693031785503647,0.025955580952763548
2000-10-02,True,-0.017211212452961422,-0.0006808866658165456,0.025945984449634297
2000-10-17,True,0.010870894632010207,-0.0012691718245021672,0.02436272440640023
2000-12-27,True,-0.007453678278468607,0.0005454438416316982,0.02379354754013795
2001-08-21,True,-0.000515891518304392,0.009595871410208128,0.02576614401281564
2001-09-17,True,-0.00022741692411317312,-0.012974707917966288,0.02917234968092825
2001-11-16,True,-0.0015197690064392953,0.0006087799063009648,0.022562857772069858
2002-04-03,True,0.0051658829391537054,0.001047367654725795,0.021123490341711876
2002-11-15,True,-0.0010508666208660959,0.005392341269265586,0.019445841493259758
2003-03-11,True,0.0010878452418246723,-0.011338548831210906,0.02175294616504089
2003-04-30,True,-0.0005448196728807322,0.0014339929988193012,0.0211638197443341
2003-07-01,True,0.004947835619143349,0.0012414536771577097,0.020946864371252923
2003-09-22,True,-0.002103030201201784,0.0015066748449308416,0.021047182858169245
2003-10-13,True,0.013273430153319766,0.001941729978661066,0.021651605473013816
2003-10-31,True,-0.008934106024738162,0.0025435548958452126,0.02169263102709933
2004-06-30,True,0.001008967586435562,0.008742469174293934,0.02175683427692909
2004-08-23,True,0.002421818838063534,-0.005847170907580947,0.02199003652567668
2004-09-17,True,0.0017297007536263306,0.009649127599063915,0.021861306988509164
2004-10-25,True,0.002544479987951422,0.0008732093680221754,0.021159072999876367
2004-12-09,True,-0.010557646597258774,0.0017525059807360945,0.0208273189989813
2005-03-18,True,0.005966795864724445,0.000930778148203547,0.020258500517469847
2005-05-17,True,-0.004589191725143948,0.001642472377157155,0.019347992250736808
2005-08-15,True,0.005794301647903635,0.0005963421672052859,0.018765314063972395
2005-11-21,True,-0.003447103237971413,0.0021346094409138124,0.018796083063241837
2006-08-10,True,0.0009503224617579193,-0.0041193955200706745,0.02118614907142862
2007-01-16,True,0.0005010547706853041,0.0028684106015274312,0.020500836575691878
2007-04-03,True,0.0059669269628547525,0.0016324431311731857,0.017423715778918176
2007-05-08,True,-0.004125004932601923,0.0021664000080555547,0.017233255220189564
2007-05-25,True,0.010596073957189037,0.0017000776193800853,0.01732389562111911
2007-08-23,True,-0.0009771160621858104,0.0026595343145077474,0.017567527289738396
2008-05-02,True,0.0023526342908987384,0.006678121986853005,0.01790934215485504
2008-07-07,True,0.0012783351588702173,-0.00014888649172997308,0.021494958368465537
2008-12-29,True,-0.011894084983480543,0.000893232938083532,0.02188302137480121
2009-06-12,True,0.006616162796674778,0.0003758546637937603,0.019381399885816667
2009-07-16,True,-0.006855059063897683,0.0016513945403317327,0.019307803588574642
2009-08-14,True,0.008850129991595321,0.0012897355822538968,0.01884008344522847
2010-05-04,True,0.000986346888185367,-0.004771422429813345,0.021167256333218146
2010-07-06,True,-0.00012389562604756847,0.007034895996479581,0.0210125044197729
2010-08-05,True,0.0005189346420977266,-0.012198842073858986,0.020923049031858234
2010-08-25,True,-0.00016851274795398757,0.003665121227057935,0.018599679220299346
2011-04-12,True,0.001227913083844121,-0.00011682492326915165,0.01606665826517329
2011-06-28,True,-0.0037268499807837185,0.00012931314883411426,0.013826769704594065
2011-09-09,True,0.0024148634300266104,-3.440821801348574e-05,0.01305078918547503
2012-06-26,True,-0.0014563914883850356,0.000520788437350705,0.012703339064063741
2012-08-17,True,0.007283162047785623,-1.7292903694654048e-05,0.01151794006115187
2013-04-18,True,-0.0010872096232728812,0.0005822912982166343,0.010964597400274268
2013-05-08,True,0.005900931149381426,0.0003201048266803418,0.010374032475395322
2013-05-24,True,-0.003826127486608266,0.0005236418785910174,0.010531572541165456
2014-03-04,True,0.00027148133568091396,-0.003343410003034246,0.010400232437884642
2014-04-03,True,-7.58008016629005e-05,0.0019685118974185688,0.009955111118303153
2014-06-20,True,0.0002651833703529721,-0.003692560445354479,0.02277993614343352
2015-01-14,True,-0.006552697378318218,-0.0001400571040625821,0.021960463137205306
2015-02-17,True,0.013505544568878642,-0.001693764225239058,0.025198319041128254
2015-03-17,True,-0.008446551017084558,-0.0009516997426186736,0.02419783074257171
2015-12-01,True,-0.0026319254715043102,-0.01484437959897911,0.022407351571687543
2016-01-21,True,4.58831149246615e-05,0.0016281461503831558,0.022686335499760634
2016-03-10,True,0.012849333551502503,0.0010254283436879619,0.021586396609983103
2016-06-09,True,0.0036691909740786247,0.0007332230003289937,0.019810071342001086
2016-08-03,True,-0.006093281986273393,0.00123460472250883,0.018984886017829307
2016-09-09,True,0.007689768135413818,0.0008887923968174913,0.018448392708087544
2016-11-14,True,-0.0036557102342447715,0.001345227158889247,0.017930248442468766
2016-12-14,True,0.01123729560169472,0.000846086090674292,0.017598933791847408
2017-06-21,True,-0.0014643209244696092,0.0018384248414410167,0.016581770296285634
2017-09-27,True,0.004382412538707824,0.0010806412720423934,0.015952836009988765
2017-10-12,True,-0.0057121303529140185,0.0014142148786250744,0.01597897242366194
2017-11-07,True,0.007523473912727032,0.0008803961280724761,0.01582724261120829
2018-08-15,True,0.000496609395384012,0.00708494830653598,0.01602738570952484
2018-08-31,True,0.00017880118100159042,-0.005093042381097577,0.02487419888623759
2019-01-02,True,-0.00507344634547269,0.0012545869966487167,0.021034789123214017
2019-01-21,True,0.015724678708957416,0.000499120361066335,0.02070656095500541
2019-08-08,True,-0.0008503606186997907,0.0022609427513165547,0.02013858313717416
2020-01-07,True,-0.0002678094305862884,-0.0073154536468064725,0.0212647263214787
2020-03-06,True,-0.0010488627844457419,-0.05571051604241733,0.05063767780410225
2020-04-22,True,-8.545320977715719e-05,0.0035767338495897466,0.02553078116217685
2020-06-09,True,0.04593354121891906,0.0013870442925323345,0.03262401490922448
2020-11-02,True,-0.000851449289888732,0.0032474782558259453,0.021094205544802798
2020-11-26,True,0.01465924718137648,0.0023986689969006988,0.019719457225015866
2021-03-08,True,0.005589577223051474,0.0011000435560253835,0.01907428497608026
2021-11-10,True,0.0020844216794936813,-0.006249436172996781,0.02194745908248092
2021-12-21,True,0.0014678862771410708,0.011776797276880122,0.022480907541547128
2022-03-09,True,0.0027160503892170993,-0.002039179517417984,0.025442718313712746
